;code_postal_unique;Commune;quota_region;quota_tuu
29080;01000;SAINT-DENIS-LES-BOURG;5;3
20394;01000;BOURG-EN-BRESSE;5;3
31413;01090;FRANCHELEINS;5;1
31289;01090;MONTMERLE-SUR-SAONE;5;3
10372;01090;LURCY;5;1
9276;01090;GUEREINS;5;3
22444;01090;MONTCEAUX;5;1
21345;01090;GENOUILLEUX;5;1
7675;01100;BELLIGNAT;5;3
21827;01100;GROISSIAT;5;3
31924;01100;GEOVREISSET;5;3
32472;01100;MARTIGNAT;5;1
18333;01100;ARBENT;5;3
7185;01100;APREMONT;5;1
8338;01100;OYONNAX;5;3
34569;01110;ARANC;5;1
9869;01110;BRENOD;5;1
7135;01110;HOSTIAZ;0;0
31534;01110;CORLIER;5;1
9610;01110;CORMARANCHE-EN-BUGEY;0;0
30833;01110;HAUTEVILLE-LOMPNES;5;2
26145;01110;CHAMPDOR;5;1
8940;01110;THEZILLIEU;0;0
5381;01110;PREMILLIEU;5;1
4542;01110;CORCELLES;0;0
29966;01120;NIEVROZ;5;1
18661;01120;SAINTE-CROIX;5;1
836;01120;LA BOISSE;5;4
18134;01120;THIL;5;1
4990;01120;DAGNEUX;5;4
14987;01120;PIZAY;5;1
24246;01120;MONTLUEL;5;4
779;01130;GIRON;5;1
15643;01130;BELLEYDOUX;5;1
30077;01130;PLAGNE;5;1
21579;01130;LES NEYROLLES;5;2
36672;01130;NANTUA;5;2
35901;01130;SAINT-GERMAIN-DE-JOUX;5;1
16893;01130;LALLEYRIAT;5;1
32564;01130;LE POIZAT;0;0
29298;01130;ECHALLON;5;1
33371;01130;CHARIX;5;1
21399;01140;PEYZIEUX-SUR-SAONE;5;1
28336;01140;GARNERANS;5;1
27847;01140;SAINT-ETIENNE-SUR-CHALARONNE;5;1
953;01140;THOISSEY;5;2
24132;01140;SAINT-DIDIER-SUR-CHALARONNE;5;2
7999;01140;ILLIAT;5;1
12032;01140;VALEINS;5;1
34052;01140;MOGNENEINS;5;1
11283;01150;VAUX-EN-BUGEY;5;1
9446;01150;CHAZEY-SUR-AIN;5;1
13514;01150;SAINT-SORLIN-EN-BUGEY;5;2
32377;01150;VILLEBOIS;5;1
17779;01150;LEYMENT;5;1
14460;01150;BLYES;5;1
14797;01150;SAINTE-JULIE;5;1
98;01150;LAGNIEU;5;2
35564;01150;SAULT-BRENAZ;5;1
1198;01150;SAINT-VULBAS;5;1
9574;01150;SOUCLIN;5;1
16671;01160;LA TRANCLIERE;5;1
31646;01160;SAINT-MARTIN-DU-MONT;5;1
36684;01160;PRIAY;5;1
7383;01160;DRUILLAT;5;1
24475;01160;PONT-D'AIN;5;2
23716;01160;VARAMBON;5;1
17698;01160;NEUVILLE-SUR-AIN;5;1
21983;01170;CROZET;5;2
6344;01170;CESSY;5;3
25159;01170;VESANCY;5;1
3719;01170;ECHENEVEX;5;2
837;01170;GEX;5;3
26469;01170;SEGNY;5;3
9032;01170;CHEVRY;5;2
2655;01190;CHAVANNES-SUR-REYSSOUZE;5;1
28592;01190;SERMOYER;5;1
6186;01190;ARBIGNY;5;1
10475;01190;CHEVROUX;5;1
